Entidade,Ano,Produção Anual de Plástico,Código,Participação na emissão global de plásticos para o oceano,Participação da reciclagem do lixo total regional,Participação da queima do lixo total regional,Participação do lixo descartado e mal gerido do total regional,Participação do lixo encaminhado para aterros do total regional,Lixo plástico mal gerenciado por pessoa (kg por ano),Cidade,Região,Qualidade do Ar,Poluição da Água
Africa,2019,,,7.98931654,,,,,,,,,
Asia,2019,,,80.99356991,,,,,,,,,
Europe,2019,,,0.220223838,,,,,,,,,
Europe,2019,,,0.595431351,,,,,,,,,
America,2019,,,4.499120942,,,,,,,,,
Oceania,2019,,,0.370715232,,,,,,,,,
Africa,2019,,ZAF,0.435547007,,,,,,,,,
America,2019,,,5.513253248,,,,,,,,,
America,2000,,,,4.721963,1.2200574,32.702644,61.355328,,,,,
America,2001,,,,4.9725046,1.2086724,32.65127,61.167557,,,,,
America,2002,,,,5.2274694,1.1975662,32.610554,60.964405,,,,,
America,2003,,,,5.4825106,1.186352,32.54644,60.7847,,,,,
America,2004,,,,5.7400074,1.1752826,32.48097,60.603745,,,,,
America,2005,,,,5.9932656,1.1643187,32.38634,60.456074,,,,,
America,2006,,,,6.248887,1.1536299,32.298714,60.298763,,,,,
America,2007,,,,6.504815,1.1429298,32.198456,60.153793,,,,,
America,2008,,,,6.750381,1.1313322,32.026604,60.091694,,,,,
America,2009,,,,7.001762,1.1201167,31.879993,59.998123,,,,,
America,2010,,,,7.260716,1.1110171,31.71632,59.91195,,,,,
America,2011,,,,7.5179963,1.1020877,31.516384,59.863525,,,,,
America,2012,,,,7.769329,1.0941856,31.313433,59.823048,,,,,
America,2013,,,,8.0173,1.0871824,31.086756,59.80876,,,,,
America,2014,,,,8.261709,1.0832841,30.869202,59.78581,,,,,
America,2015,,,,8.545544,1.0632468,30.585459,59.805756,,,,,
America,2016,,,,8.805076,1.0594409,30.192081,59.943398,,,,,
America,2017,,,,9.050159,1.0606065,29.824228,60.065014,,,,,
America,2018,,,,9.3020315,1.0537329,29.444986,60.19925,,,,,
America,2019,,,,9.554245,1.1592599,29.180883,60.10561,,,,,
Asia,2000,,,,3.8260822,10.439383,36.90847,48.82608,,,,,
Asia,2001,,,,4.0782595,10.978967,36.89078,48.051964,,,,,
