Código,Entidade,Região,Cidade,Qualidade do Ar,Poluição da Água,Ano,Produção Anual de Plástico,Participação na emissão global de plásticos para o oceano
AFG,Afghanistan,Kabul,Kabul,18.42105263,81.06060606,,,
AFG,Afghanistan,Herat,Herat,43.75,31.25,,,
AFG,Afghanistan,Kandahar,Kandahar,0.0,75.0,,,
AFG,Afghanistan,Balkh,Mazar-i-Sharif,11.11111111,83.33333333,,,
AFG,Afghanistan,Farah,Farah,100.0,0.0,,,
AFG,Afghanistan,Faryab,Andkhoy,50.0,50.0,,,
AFR,Africa,,,,,2019.0,,7.98931654
AGO,Angola,,,,,2019.0,,0.087803663
AGO,Angola,Luanda Province,Luanda,15.0,81.25,,,
ALB,Albania,,,,,2019.0,,0.159782247
ALB,Albania,Tirana County,Tirana,18.31683168,73.17708333,,,
ALB,Albania,Tirana County,Kavaje,100.0,75.0,,,
ALB,Albania,Durres County,Durres,37.5,62.5,,,
ALB,Albania,Elbasan County,Elbasan,0.0,25.0,,,
ALB,Albania,Korce County,Korce,75.0,25.0,,,
ALB,Albania,Shkoder County,Shkoder,75.0,33.33333333,,,
ALB,Albania,Vlore County,Vlore,66.66666667,75.0,,,
ALB,Albania,Fier County,Lushnje,0.0,100.0,,,
ALB,Albania,Diber County,Burrel,100.0,62.5,,,
ALB,Albania,Tirana County,Kamez,50.0,100.0,,,
ALB,Albania,Gjirokaster County,Permet,100.0,0.0,,,
ALB,Albania,Fier County,Ballsh,0.0,62.5,,,
AND,Andorra,Andorra la Vella,Andorra la Vella,37.5,25.0,,,
AND,Andorra,Encamp,Encamp,50.0,25.0,,,
ARE,United Arab Emirates,,,,,2019.0,,0.001429362
ARE,United Arab Emirates,Emirate of Dubai,Dubai,48.87387387,39.84615385,,,
ARE,United Arab Emirates,Emirate of Abu Dhabi,Abu Dhabi,55.98290598,37.99019608,,,
ARE,United Arab Emirates,Emirate of Fujairah,Fujairah,25.0,62.5,,,
ARE,United Arab Emirates,Emirate of Abu Dhabi,Al Ain,44.79166667,38.88888889,,,
ARE,United Arab Emirates,Emirate of Sharjah,Sharjah,54.41176471,36.76470588,,,
ARE,United Arab Emirates,Emirate of Ajman,Ajman,44.64285714,42.30769231,,,
ARE,United Arab Emirates,Emirate of Ras Al Khaimah,Ras al-Khaimah,57.14285714,29.6875,,,
ARG,Argentina,,,,,2019.0,,0.422376457
ARG,Argentina,,Buenos Aires,54.26470588,54.84375,,,
ARG,Argentina,Salta Province,Salta,60.0,50.0,,,
ARG,Argentina,Buenos Aires Province,La Plata,40.90909091,63.63636364,,,
ARG,Argentina,Cordoba Province,Cordoba,35.0,58.33333333,,,
ARG,Argentina,La Pampa,Santa Rosa,75.0,75.0,,,
ARG,Argentina,Province of Jujuy,San Salvador de Jujuy,75.0,50.0,,,
ARG,Argentina,La Rioja Province,La Rioja,100.0,50.0,,,
ARG,Argentina,Mendoza,Mendoza,65.625,53.57142857,,,
ARG,Argentina,Rio Negro Province,Viedma,100.0,75.0,,,
ARG,Argentina,San Luis Province,San Luis,75.0,50.0,,,
ARG,Argentina,Santiago del Estero Province,Santiago del Estero,75.0,25.0,,,
ARG,Argentina,Rio Negro Province,Bariloche,83.33333333,41.66666667,,,
ARG,Argentina,Santa Fe Province,Rosario,71.42857143,57.14285714,,,
ARG,Argentina,Buenos Aires Province,Mar del Plata,82.14285714,35.71428571,,,
ARG,Argentina,Buenos Aires Province,Bahia Blanca,58.33333333,58.33333333,,,
ARG,Argentina,Chubut Province,Comodoro Rivadavia,85.71428571,58.33333333,,,
ARG,Argentina,Buenos Aires Province,Lomas de Zamora,62.5,37.5,,,
ARG,Argentina,Buenos Aires Province,Quilmes,25.0,25.0,,,
ARG,Argentina,Santa Fe Province,Avellaneda,0.0,100.0,,,
ARG,Argentina,Neuquen Province,San Martin de los Andes,100.0,75.0,,,
ARG,Argentina,Buenos Aires Province,Pilar,75.0,100.0,,,
ARG,Argentina,Buenos Aires Province,San Isidro,100.0,0.0,,,
ARM,Armenia,,Yerevan,41.81034483,35.0,,,
ARM,Armenia,Lori Region,Vanadzor,25.0,50.0,,,
ARM,Armenia,Armavir Region,Metsamor,0.0,50.0,,,
ASI1,Asia,,,,,2019.0,,80.99356991
ATG,Antigua and Barbuda,,,,,2019.0,,0.000204195
AUS,Australia,,,,,2019.0,,0.003267113
AUS,Australia,Australian Capital Territory,Canberra,90.74675325,17.80821918,,,
AUS,Australia,,Sydney,75.88996764,28.54785479,,,
AUS,Australia,Victoria,Melbourne,79.07303371,28.2234957,,,
AUS,Australia,Western Australia,Perth,82.98755187,28.0720339,,,
AUS,Australia,South Australia,Adelaide,88.84803922,24.60526316,,,
AUS,Australia,Northern Territory,Darwin,84.65909091,26.92307692,,,
AUS,Australia,Victoria,Ballarat,89.0625,23.33333333,,,
AUS,Australia,Northern Territory,Alice Springs,65.625,28.125,,,
AUS,Australia,Queensland,Brisbane,83.06878307,30.46448087,,,
AUS,Australia,Tasmania,Hobart,92.85714286,21.05263158,,,
AUS,Australia,New South Wales,Newcastle,78.0,39.28571429,,,
AUS,Australia,Queensland,Gold Coast,82.63888889,32.60869565,,,
AUS,Australia,Queensland,Bundaberg,58.33333333,32.14285714,,,
AUS,Australia,New South Wales,Wollongong,76.13636364,30.26315789,,,
AUS,Australia,Queensland,Cairns,77.27272727,37.39516129,,,
AUS,Australia,Queensland,Townsville,89.28571429,40.625,,,
AUS,Australia,Victoria,Geelong,83.33333333,23.80952381,,,
AUS,Australia,Victoria,Traralgon,75.0,50.0,,,
AUS,Australia,Western Australia,Bunbury,100.0,0.0,,,
AUS,Australia,South Australia,Mount Gambier,83.33333333,0.0,,,
AUS,Australia,Western Australia,Kalgoorlie,75.0,50.0,,,
AUS,Australia,New South Wales,Albury,95.0,8.333333333,,,
AUS,Australia,Tasmania,Launceston,68.75,50.0,,,
AUS,Australia,New South Wales,Penrith,25.0,25.0,,,
AUS,Australia,New South Wales,Wagga Wagga,75.0,20.0,,,
AUS,Australia,Queensland,Toowoomba,86.66666667,10.0,,,
AUS,Australia,Victoria,Bendigo,0.0,100.0,,,
AUS,Australia,New South Wales,Orange,100.0,0.0,,,
AUS,Australia,Western Australia,Mandurah,37.5,62.5,,,
AUS,Australia,New South Wales,Coffs Harbour,100.0,25.0,,,
AUS,Australia,New South Wales,Gosford,100.0,0.0,,,
AUS,Australia,Western Australia,Geraldton,82.14285714,25.0,,,
AUS,Australia,New South Wales,Port Macquarie,75.0,46.15384615,,,
AUS,Australia,Queensland,Rockhampton,88.63636364,18.75,,,
AUS,Australia,Western Australia,Fremantle,91.66666667,50.0,,,
AUS,Australia,South Australia,Port Lincoln,0.0,25.0,,,
AUS,Australia,New South Wales,Wodonga,100.0,0.0,,,
AUS,Australia,Queensland,Hervey Bay,66.66666667,33.33333333,,,
AUS,Australia,Queensland,Mount Isa,92.85714286,75.0,,,
AUS,Australia,Western Australia,Busselton,90.0,50.0,,,
AUS,Australia,New South Wales,Singleton,87.5,50.0,,,
AUS,Australia,Western Australia,Albany,84.375,31.25,,,
AUS,Australia,Queensland,Mackay,90.0,75.0,,,
AUS,Australia,New South Wales,Bathurst,91.66666667,37.5,,,
AUS,Australia,Queensland,Gladstone,75.0,56.25,,,
AUS,Australia,Tasmania,Devonport,95.83333333,0.0,,,
AUS,Australia,Victoria,Warrnambool,100.0,25.0,,,
AUS,Australia,South Australia,Whyalla,71.42857143,16.66666667,,,
AUS,Australia,New South Wales,Dubbo,83.33333333,35.0,,,
AUS,Australia,Victoria,Shepparton,75.0,50.0,,,
AUS,Australia,Queensland,Dalby,100.0,50.0,,,
AUS,Australia,New South Wales,Muswellbrook,87.5,50.0,,,
AUS,Australia,Queensland,Ipswich,50.0,75.0,,,
AUS,Australia,Victoria,Wangaratta,100.0,25.0,,,
AUS,Australia,Victoria,Frankston,87.5,100.0,,,
AUS,Australia,Western Australia,Karratha,100.0,0.0,,,
AUS,Australia,New South Wales,Tamworth,100.0,25.0,,,
AUS,Australia,New South Wales,Katoomba,100.0,0.0,,,
AUS,Australia,Queensland,Gympie,62.5,62.5,,,
AUS,Australia,New South Wales,Bowral,75.0,33.33333333,,,
AUS,Australia,New South Wales,Merimbula,100.0,0.0,,,
AUS,Australia,Queensland,Buderim,75.0,0.0,,,
AUS,Australia,Queensland,Millmerran,100.0,0.0,,,
